"filename", "language", "YAML", "JSON", "C++", "Dart", "CMake", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\termsAndConditions.dart", "Dart", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 99
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\topUpTransfer\contactDropdown.dart", "Dart", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 147
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\topUpTransfer\wBackButton.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 30
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\topUpTransfer\wBackButtonBlack.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 33
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\shortcuts\colors.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\shortcuts\format.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\shortcuts\initials.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\shortcuts\transition.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Coding Projects\DOOID Files\dooid\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\Coding Projects\DOOID Files\dooid\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Coding Projects\DOOID Files\dooid\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\Coding Projects\DOOID Files\dooid\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Coding Projects\DOOID Files\dooid\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Coding Projects\DOOID Files\dooid\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Coding Projects\DOOID Files\dooid\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 4, 21
"d:\Coding Projects\DOOID Files\dooid\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\Coding Projects\DOOID Files\dooid\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Coding Projects\DOOID Files\dooid\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Coding Projects\DOOID Files\dooid\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"d:\Coding Projects\DOOID Files\dooid\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Coding Projects\DOOID Files\dooid\pubspec.yaml", "YAML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 14, 108
"d:\Coding Projects\DOOID Files\dooid\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Coding Projects\DOOID Files\dooid\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"d:\Coding Projects\DOOID Files\dooid\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Coding Projects\DOOID Files\dooid\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"d:\Coding Projects\DOOID Files\dooid\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Coding Projects\DOOID Files\dooid\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Coding Projects\DOOID Files\dooid\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\Coding Projects\DOOID Files\dooid\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Coding Projects\DOOID Files\dooid\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Coding Projects\DOOID Files\dooid\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Coding Projects\DOOID Files\dooid\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\Coding Projects\DOOID Files\dooid\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Coding Projects\DOOID Files\dooid\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Coding Projects\DOOID Files\dooid\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 42, 277, 548, 5632, 41, 18, 38, 60, 493, 95, 8, 4, 307, 616, 8179
